"Day","Gross sales","Discounts","Orders","Average order value","Day (previous_year)","Gross sales (previous_year)","Discounts (previous_year)","Orders (previous_year)","Average order value (previous_year)"
"2025-05-29",48296.9,-1616.12,96,486.258,"2024-05-28",281572.95,-50630.61,491,470.35
"2025-05-30",59059.25,-2974.38,114,491.972,"2024-05-29",89998.83,-12823.12,153,504.416
"2025-05-31",61280.89,-4108.02,119,480.444,"2024-05-30",57395.89,-3230.95,157,344.999
"2025-06-01",51053.4,-3876.96,111,425.012,"2024-05-31",42393.56,-3010.65,119,330.948
"2025-06-02",188819.71,-26500.16,440,368.908,"2024-06-01",49406.76,-2502.99,138,339.882
"2025-06-03",97900.59,-10796,213,408.941,"2024-06-02",62222.5,-3590.35,91,644.309
"2025-06-04",125968.48,-12786.71,279,405.669,"2024-06-03",59019.9,-4370.8,130,420.377
"2025-06-05",99510.7,-11087.5,220,401.923,"2024-06-04",43656.31,-2388.18,101,408.595
"2025-06-06",62672.35,-4332.34,124,470.483,"2024-06-05",49669.52,-3617.61,92,500.564
"2025-06-07",61352.21,-3526.01,113,511.736,"2024-06-06",41297.59,-3134.46,102,374.148
"2025-06-08",190037.48,-34749.11,326,476.344,"2024-06-07",54119.3,-5061.43,130,377.368
"2025-06-09",224755.03,-46679.33,372,478.698,"2024-06-08",51751.85,-6338.69,132,344.039
"2025-06-10",86558.32,-5871.96,153,527.361,"2024-06-09",84319.66,-9202.33,177,424.391
"2025-06-11",57666.68,-3723.97,107,504.137,"2024-06-10",69758.39,-4864.31,108,600.871
"2025-06-12",63570.07,-3535.39,104,577.256,"2024-06-11",65581.8,-5537.62,113,531.364
"2025-06-13",48197.61,-3231.63,99,454.201,"2024-06-12",47478.84,-4565.95,103,416.63
"2025-06-14",44812.72,-3128.95,83,502.214,"2024-06-13",50730,-3264.17,93,510.385
"2025-06-15",53167.12,-2808.56,91,553.39,"2024-06-14",33070.88,-2946.78,61,493.837
"2025-06-16",43885.33,-2164.81,80,521.506,"2024-06-15",34677.17,-2457.61,56,575.349
"2025-06-17",42890.67,-2575.32,81,497.72,"2024-06-16",45555.76,-3196.32,65,651.683
"2025-06-18",53867.52,-3773.51,97,516.433,"2024-06-17",40478.8,-2655.2,76,497.678
"2025-06-19",54668.63,-3258.27,111,463.156,"2024-06-18",30013.06,-1984.68,71,394.765
"2025-06-20",39380.5,-2287.11,101,367.261,"2024-06-19",38119.89,-3284.22,82,424.825
"2025-06-21",40698.94,-2287.05,88,436.498,"2024-06-20",45837.36,-2851.3,103,417.34
"2025-06-22",44167.92,-2669.43,91,456.027,"2024-06-21",35267.7,-3423.27,92,346.135
"2025-06-23",38631.02,-1960.21,100,366.708,"2024-06-22",58237.37,-3683.32,89,612.966
"2025-06-24",39467.1,-2337.6,84,442.017,"2024-06-23",26469.88,-2168.15,59,411.893
"2025-06-25",41203.97,-2338.15,91,427.096,"2024-06-24",55291.92,-3985.1,96,534.446
"2025-06-26",28764.67,-1729.08,76,355.731,"2024-06-25",45474.56,-3581.82,75,558.569
"2025-06-27",52821.52,-3267.36,126,393.286,"2024-06-26",32769.39,-1757.24,71,436.79
"2025-06-28",42625.96,-2784.85,85,468.718,"2024-06-27",41671.24,-3043.06,120,321.901
"2025-06-29",40794.53,-1968.08,79,491.474,"2024-06-28",38159.69,-4316.32,92,367.862
"2025-06-30",42438.72,-3193.5,103,381.021,"2024-06-29",39241.51,-2551.4,77,476.494
"2025-07-01",41278.31,-2936.8,113,339.305,"2024-06-30",49673.85,-3123.81,92,505.978
"2025-07-02",43486.04,-2502.42,90,455.373,"2024-07-01",55391.67,-3574.41,111,466.822
"2025-07-03",45560.13,-3229.54,91,465.171,"2024-07-02",34569.61,-2016.18,98,332.177
"2025-07-04",48779.26,-4015.93,101,443.201,"2024-07-03",40948.73,-3276.71,85,443.2
"2025-07-05",40747.1,-3174.59,79,475.601,"2024-07-04",51944.63,-3135.86,82,595.228
"2025-07-06",56877.6,-3370.66,84,636.987,"2024-07-05",45001.9,-3753.5,106,389.135
"2025-07-07",59721.69,-20303.63,146,269.986,"2024-07-06",49359.34,-3042.13,79,586.293
"2025-07-08",50982.67,-6337.65,100,446.45,"2024-07-07",58800.7,-3670.95,104,530.093
"2025-07-09",39787.56,-3275.85,132,276.603,"2024-07-08",87081.41,-8436.45,145,542.379
"2025-07-10",51065.36,-5049.04,96,479.336,"2024-07-09",45950,-4230.26,94,443.827
"2025-07-11",44099.72,-10551.62,164,204.561,"2024-07-10",38214.91,-3569.16,90,384.952
"2025-07-12",41989.99,-4391.08,89,422.459,"2024-07-11",47884.14,-2618.18,117,386.888
"2025-07-13",28840.7,-2247.33,66,402.929,"2024-07-12",52312.78,-5273.19,141,333.614
"2025-07-14",38969.31,-5079.82,92,368.364,"2024-07-13",28063.76,-2448.73,63,406.587
"2025-07-15",40213.11,-3745.02,98,372.123,"2024-07-14",58530.7,-3398.5,90,612.58
"2025-07-16",52112.71,-4730.75,96,493.562,"2024-07-15",53995.86,-4823.6,116,423.898
"2025-07-17",39779.69,-2261.2,89,421.556,"2024-07-16",47671.23,-4416.24,91,475.329
"2025-07-18",56036.27,-5571.46,98,514.947,"2024-07-17",49167.71,-4746.85,91,488.141
"2025-07-19",36527.78,-2561.74,79,429.949,"2024-07-18",51534.55,-4438.3,116,406.002
"2025-07-20",54485.77,-4047.43,96,525.399,"2024-07-19",39717.38,-3737.86,82,438.774
"2025-07-21",47583.17,-2314.7,120,377.237,"2024-07-20",23619.72,-1655.3,59,372.278
"2025-07-22",49082.55,-3310.49,106,431.811,"2024-07-21",38039.66,-3279.44,60,579.337
"2025-07-23",39845.36,-3886.43,99,363.221,"2024-07-22",53094.45,-3173.78,110,453.824
"2025-07-24",52257.39,-3395.44,104,469.826,"2024-07-23",45039.23,-3622.49,113,366.519
"2025-07-25",50619.78,-2970.47,119,400.414,"2024-07-24",42641.81,-2874.79,83,479.12
"2025-07-26",42799.75,-3252.57,88,449.399,"2024-07-25",30872.98,-1944.54,109,265.398
"2025-07-27",36453.25,-2028.15,89,386.798,"2024-07-26",28803.94,-2742.19,55,473.85
"2025-07-28",42472.75,-3908.73,97,397.567,"2024-07-27",40472.09,-3218.56,74,503.426
"2025-07-29",45225.05,-3599.84,102,408.09,"2024-07-28",34949.7,-3115.46,55,578.804
"2025-07-30",40569.75,-3186.35,114,327.924,"2024-07-29",41055.29,-2795.06,72,531.392
"2025-07-31",48964.31,-3078.05,106,432.889,"2024-07-30",43581.71,-2901.86,97,419.379
"2025-08-01",36850.35,-3014.7,90,375.951,"2024-07-31",33031.45,-1609.7,55,571.304
"2025-08-02",31847.65,-1596.65,69,438.42,"2024-08-01",36424.58,-2555.1,72,470.409
"2025-08-03",42993.89,-3503.19,94,420.113,"2024-08-02",52774.44,-5171.72,86,553.52
"2025-08-04",28851.23,-2000.57,64,419.541,"2024-08-03",27174.2,-2116.7,45,556.833
,0,0,0,,"2024-08-04",25645.23,-1667.43,53,452.411
