Session default channel group,Date,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Paid Search,2024-12-31,3638,1727,0.4747113798790544,39.24903793293018,9.470313358988456,34453,63,0.0173172072567344,40757.6
Paid Social,2024-12-08,3638,893,0.2454645409565695,2.1621770203408466,5.017592083562397,18254,3,0.0008246289169873,1167.4
Paid Social,2024-12-28,3630,901,0.2482093663911845,2.520661157024793,4.503030303030303,16346,1,0.0002754820936639,1037.0
Affiliates,2024-12-01,3618,1020,0.2819237147595356,9.201768933112216,5.567440574903261,20143,11,0.0030403537866224,4351.4
Paid Search,2024-12-06,3597,1730,0.4809563525159855,35.243258270781205,10.747567417292188,38659,51,0.0136224631637475,36303.772227
Organic Search,2024-12-03,3596,1679,0.4669076751946607,35.6142936596218,8.471357063403781,30463,36,0.0100111234705228,22797.176391
Paid Social,2024-12-15,3520,876,0.2488636363636363,3.0994318181818183,4.775852272727272,16811,1,0.0002840909090909,449.0
Paid Social,2024-12-23,3514,865,0.2461582242458736,1.9889015367103016,4.512521343198634,15857,0,0.0,0.0
Paid Social,2024-12-31,3479,899,0.2584075883874677,3.5697039379131934,4.472549583213567,15560,1,0.0002874389192296,1036.0
Paid Search,2024-12-07,3459,1600,0.4625614339404452,37.583983810349814,10.758022549869905,37212,56,0.0161896501879155,34028.010307
Organic Social,2024-12-21,3447,1299,0.3768494342906875,11.144473455178415,5.917609515520743,20398,10,0.0029010733971569,7377.6
Paid Search,2024-12-22,3405,1577,0.4631424375917768,35.1503671071953,9.276358296622616,31586,48,0.0140969162995594,30963.2
Organic Search,2024-12-04,3402,1562,0.4591416813639036,34.117283950617285,8.183127572016462,27839,26,0.0076425631981187,19074.987826
Paid Social,2024-12-22,3400,920,0.2705882352941176,2.2005882352941177,4.761470588235294,16189,2,0.0005882352941176,1028.2
Paid Search,2024-12-21,3398,1629,0.4793996468510889,41.01706886403767,9.633902295467925,32736,47,0.0138316656856974,30592.195239
Paid Social,2024-12-13,3388,842,0.2485242030696576,2.7508854781582053,4.6641086186540734,15802,1,0.0002951593860684,558.0
Referral,2024-12-10,3378,1075,0.3182356423919479,11.5595026642984,5.945529899348727,20084,8,0.0023682652457075,4125.989863
Organic Search,2024-12-01,3373,1585,0.4699080936851467,41.90453602134598,9.38067002668248,31641,45,0.0133412392528906,30661.765915
Paid Social,2024-12-29,3370,909,0.2697329376854599,3.765875370919882,4.6335311572700295,15615,2,0.000593471810089,1088.8
Referral,2024-12-04,3363,1142,0.3395777579542075,12.639012786202796,6.020814748736248,20248,6,0.0017841213202497,3850.4
Cross-network,2024-12-26,3334,1474,0.4421115776844631,30.11007798440312,7.88992201559688,26305,25,0.00749850029994,13896.8
Paid Social,2024-12-10,3289,816,0.2480997263605959,2.31438127090301,4.689267254484646,15423,4,0.0012161751292186,1797.2
Paid Social,2024-12-21,3273,864,0.2639780018331805,2.071494042163153,4.686526122823098,15339,1,0.0003055300947143,359.2
Paid Social,2024-12-30,3257,854,0.2622044826527479,2.633712004912496,4.528707399447344,14750,1,0.000307031010132,630.4
Paid Social,2024-12-14,3247,856,0.2636279642747151,3.38805050816138,4.800123190637511,15586,0,0.0,0.0
Paid Social,2024-12-05,3242,815,0.2513880320789636,2.186613201727329,4.774213448488587,15478,2,0.000616903146206,1396.2
Paid Social,2024-12-17,3204,883,0.2755930087390761,2.3973158551810236,4.681960049937578,15001,2,0.0006242197253433,1165.2
Paid Social,2024-12-27,3204,837,0.2612359550561798,3.1869538077403248,4.770911360799001,15286,0,0.0,0.0
Organic Social,2024-12-15,3201,1193,0.3726960324898469,12.02218056857232,6.1936894720399875,19826,18,0.0056232427366447,9399.84
Cross-network,2024-12-11,3200,1368,0.4275,27.735,7.8603125,25153,32,0.01,22014.1
