date,platform,spend,accounting_mode,attribution_model,attribution_window
2024-03-12,ShareASale,2776.6531228027875,Cash snapshot,Monthly allocation,1
2024-03-12,ShopMy,207.3527687038971,Cash snapshot,Monthly allocation,1
2024-03-12,TikTok,328.7136196032323,Cash snapshot,Monthly allocation,1
2024-03-13,Google,4442.21,Cash snapshot,Platform reported,1
2024-03-13,Meta,10199.06,Cash snapshot,Platform reported,1
2024-03-13,ShareASale,2691.5334088503782,Cash snapshot,Monthly allocation,1
2024-03-13,ShopMy,200.99626409971384,Cash snapshot,Monthly allocation,1
2024-03-13,TikTok,318.63673637892634,Cash snapshot,Monthly allocation,1
2024-03-14,Google,4189.53,Cash snapshot,Platform reported,1
2024-03-14,Meta,10062.48,Cash snapshot,Platform reported,1
2024-03-14,ShareASale,2619.974978828317,Cash snapshot,Monthly allocation,1
2024-03-14,ShopMy,195.65247863824396,Cash snapshot,Monthly allocation,1
2024-03-14,TikTok,310.16530350439695,Cash snapshot,Monthly allocation,1
2024-03-15,Google,4523.81,Cash snapshot,Platform reported,1
2024-03-15,Meta,10033.27,Cash snapshot,Platform reported,1
2024-03-15,ShareASale,2676.056595862768,Cash snapshot,Monthly allocation,1
2024-03-15,ShopMy,199.8404985496929,Cash snapshot,Monthly allocation,1
2024-03-15,TikTok,316.8045164392803,Cash snapshot,Monthly allocation,1
2024-03-16,Google,3747.87,Cash snapshot,Platform reported,1
2024-03-16,Meta,10996.95,Cash snapshot,Platform reported,1
2024-03-16,ShareASale,2710.5692086468753,Cash snapshot,Monthly allocation,1
2024-03-16,ShopMy,202.41780493240972,Cash snapshot,Monthly allocation,1
2024-03-16,TikTok,320.89028638189995,Cash snapshot,Monthly allocation,1
2024-03-17,Google,4259.82,Cash snapshot,Platform reported,1
2024-03-17,Meta,11548.72,Cash snapshot,Platform reported,1
2024-03-17,ShareASale,2906.114944615293,Cash snapshot,Monthly allocation,1
2024-03-17,ShopMy,217.0206191724413,Cash snapshot,Monthly allocation,1
2024-03-17,TikTok,344.03993591510243,Cash snapshot,Monthly allocation,1
2024-03-18,Google,4537.13,Cash snapshot,Platform reported,1
2024-03-18,Meta,11295.4,Cash snapshot,Platform reported,1
2024-03-18,ShareASale,2910.5250734141146,Cash snapshot,Monthly allocation,1
2024-03-18,ShopMy,217.34995538273944,Cash snapshot,Monthly allocation,1
2024-03-18,TikTok,344.56202828179806,Cash snapshot,Monthly allocation,1
2024-03-19,Google,4531.82,Cash snapshot,Platform reported,1
2024-03-19,Meta,11035.05,Cash snapshot,Platform reported,1
2024-03-19,ShareASale,2861.6882740520928,Cash snapshot,Monthly allocation,1
