breakdown_platform_northbeam,campaign_name,adset_name,ad_name,spend,attributed_rev
Awin,AWIN / 1733931 (custom spend input),AWIN / 1733931 (custom spend input),AWIN / 1733931 (custom spend input),12.679999999999993,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_FSA/HSA,73598879686276 (ResponsiveSearch),12.63,0.0
Google Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,752273678541 (RESPONSIVE_SEARCH_AD),12.610153,0.0
Awin,AWIN / 98969 (custom spend input),AWIN / 98969 (custom spend input),AWIN / 98969 (custom spend input),12.220000000000002,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_Accessories,73736317564549 (ResponsiveSearch),12.16,0.0
Google Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,752273678541 (RESPONSIVE_SEARCH_AD),11.969731,0.0
Google Ads,US_Brand_Consumables,Brand_BodyCare,753905099716 (RESPONSIVE_SEARCH_AD),11.84,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_Website,73667598485349 (ResponsiveSearch),11.42,0.0
Google Ads,US_Brand_Core,Brand_Website,752274987324 (RESPONSIVE_SEARCH_AD),10.597073,0.0
Awin,AWIN / 214459 (custom spend input),AWIN / 214459 (custom spend input),AWIN / 214459 (custom spend input),10.429999999999996,0.0
Facebook Ads,SB | Body Care & Supplements | Creative Testing | 42225,HD081 - ADV+ | 25+ F | High-Dration Education | All Exclusions | 73025,SB_HD_081_Static_CPG Hydration Education_v1_PDP_ToF,10.38,0.0
Microsoft Ads,US_Brand_Alone_Exact,BR_Alone_Exact,74286074429598 (ResponsiveSearch),9.94,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_FSA/HSA,73598879686275 (ResponsiveSearch),9.719999999999999,0.0
Awin,AWIN / 156708 (custom spend input),AWIN / 156708 (custom spend input),AWIN / 156708 (custom spend input),9.659999999999998,0.0
Awin,AWIN / 405484 (custom spend input),AWIN / 405484 (custom spend input),AWIN / 405484 (custom spend input),9.540000000000003,0.0
ShopMyShelf,ShopMy / Shelly Marshall (custom spend input),ShopMy / Shelly Marshall (custom spend input),ShopMy / Shelly Marshall (custom spend input),9.39,0.0
Google Ads,US_Brand_Consumables,Brand_BodyCare,753905099716 (RESPONSIVE_SEARCH_AD),9.227837,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_FSA/HSA,73598879686275 (ResponsiveSearch),9.14,0.0
Awin,AWIN / 81392 (custom spend input),AWIN / 81392 (custom spend input),AWIN / 81392 (custom spend input),9.029999999999998,0.0
Google Ads,US_Brand_Consumables,Brand_Supplements,753993765746 (RESPONSIVE_SEARCH_AD),9.020173,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_Accessories,73736317564549 (ResponsiveSearch),8.52,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_FSA/HSA,73598879686275 (ResponsiveSearch),8.39,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_Website,73667598485349 (ResponsiveSearch),7.79,0.0
Awin,AWIN / 1201796 (custom spend input),AWIN / 1201796 (custom spend input),AWIN / 1201796 (custom spend input),7.78,0.0
